url,sku,SKU,nombre,id,categorias,precio_actual,precio_promocional,stock_actual,FEBRERO,MARZO,ABRIL,MAYO,Spend mayo,Spend Junio,JUNIO,JULIO,AGOSTO,ventas ecom,SPEND,ENE LOCALES,FEB LOCAL,MAR LOCAL,AB LOCALES,SUMADEVENTAS,IMAGEN,VALORIZADO,imagen_principal,otras_imagenes
https://gerf.com.ar/productos/Zapatillas-Africa-Azul-de-Mujer-52-20/,52|20|35,52|20,Zapatillas Africa Azul de Mujer,254864017,CALZADOM|CalzadosdeMujer|Zapatillas,$43.800,$0,0,0,0,0,0,,$0,0,0,0,0,,0,0,0,0,0,,$0,https://acdn-us.mitiendanube.com/stores/005/775/403/products/52-20_1-bec2fe0e57d018db5017393070014951-1024-1024.jpg,
https://gerf.com.ar/productos/Zapatillas-Africa-Verde-de-Mujer-52-30/,52|30|35,52|30,Zapatillas Africa Verde de Mujer,254864025,CALZADOM|CalzadosdeMujer|Zapatillas,$43.800,$0,0,0,0,0,0,,$0,0,0,0,0,,0,0,0,0,0,,$0,https://acdn-us.mitiendanube.com/stores/005/775/403/products/52-30_1-37114fd55c3c1cda8f17393070049594-1024-1024.jpg,
https://gerf.com.ar/productos/Zapatillas-Africa-Rosa-Claro-de-Mujer-52-82/,52|82|35,52|82,Zapatillas Africa Rosa Claro de Mujer,254864032,CALZADOM|CalzadosdeMujer|Zapatillas,$43.800,$0,0,0,0,0,0,,$0,0,0,0,0,,0,0,0,0,0,,$0,https://acdn-us.mitiendanube.com/stores/005/775/403/products/52-82_1-113d277716afe3030417393070080128-1024-1024.jpg,
https://gerf.com.ar/productos/Zapatillas-Sneak-Negro-Unisex-82-10/,82|10|35,82|10,Zapatillas Sneak Negro Unisex,254865119,Ofertas|CALZADOH|CalzadodeHombre,$43.800,$0,0,0,0,0,0,,$0,0,0,0,0,,0,0,0,0,0,,$0,,
https://gerf.com.ar/productos/Zapatillas-Sneak-Azul-Unisex-82-20/,82|20|35,82|20,Zapatillas Sneak Azul Unisex,254865136,Ofertas|CALZADOH|CalzadodeHombre,$43.800,$0,0,0,0,0,0,,$0,0,0,0,0,,0,0,0,0,0,,$0,https://acdn-us.mitiendanube.com/stores/005/775/403/products/82-20_1-e5a8b473d3c918545d17392880135458-1024-1024.jpg,"https://acdn-us.mitiendanube.com/stores/005/775/403/products/82-20_1-622e68e2c3eb571d4d17393075355546-1024-1024.jpg,https://acdn-us.mitiendanube.com/stores/005/775/403/products/82-20_2-d0d3984396229a590c17393075385846-1024-1024.jpg"
https://gerf.com.ar/productos/Zapatillas-Sneak-Rosa-Unisex-82-80/,82|80|35,82|80,Zapatillas Sneak Rosa Unisex,254865157,Ofertas|CALZADOH|CalzadodeHombre,$43.800,$0,0,0,0,0,0,,$0,0,0,0,0,,0,0,0,0,0,,$0,,
https://gerf.com.ar/productos/Ojotas-Jasmine-Negro-de-Mujer-4455-10/,4455|10|36,4455|10,Ojotas Jasmine Negro de Mujer,254863786,CALZADOM|CalzadosdeMujer|Ojotas|VERTODO,$41.000,$0,0,0,0,0,0,,$0,0,0,0,0,,0,0,0,0,0,,$0,https://acdn-us.mitiendanube.com/stores/005/775/403/products/4455-10_5-ee04f6bbf3bc920ff717393068156407-1024-1024.jpg,"https://acdn-us.mitiendanube.com/stores/005/775/403/products/4455-10_4-bc6816a4288c7f4ab517393068186007-1024-1024.jpg,https://acdn-us.mitiendanube.com/stores/005/775/403/products/4455-10_3-6c5d21adf2b450706e17393068217017-1024-1024.jpg,https://acdn-us.mitiendanube.com/stores/005/775/403/products/4455-10_2-815975061b793cf8ed17393068244396-1024-1024.jpg,https://acdn-us.mitiendanube.com/stores/005/775/403/products/4455-10_1-f14631e7401db2298e17393068280711-1024-1024.jpg"
https://gerf.com.ar/productos/Ojotas-Jasmine-Marron-de-Mujer-4455-100/,4455|100|36,4455|100,Ojotas Jasmine Marron de Mujer,254863789,CALZADOM|CalzadosdeMujer|Ojotas|VERTODO,$41.000,$0,0,0,0,0,0,,$0,0,0,0,0,,0,0,0,0,0,,$0,https://acdn-us.mitiendanube.com/stores/005/775/403/products/4455-100_1-a37b080b7bd580353517393068307581-1024-1024.jpg,
https://gerf.com.ar/productos/Ojotas-Jasmine-Cebra-4455-104/,4455|104|36,4455|104,Ojotas Jasmine Cebra,254863793,CALZADOM|CalzadosdeMujer|Ojotas|VERTODO,$41.000,$0,0,0,0,0,0,,$0,0,0,0,0,,0,0,0,0,0,,$0,https://acdn-us.mitiendanube.com/stores/005/775/403/products/4455-104_1-738f7879a25531e60b17393068338729-1024-1024.jpg,
https://gerf.com.ar/productos/Ojotas-Jasmine-Negro-Y-Blanco-4455-11/,4455|11|35,4455|11,Ojotas Jasmine Negro Y Blanco,254863795,CALZADOM|CalzadosdeMujer|Ojotas|VERTODO,$41.000,$0,0,0,0,0,0,,$0,0,0,0,0,,0,0,0,0,0,,$0,https://acdn-us.mitiendanube.com/stores/005/775/403/products/4455-11_1-18882f21227331b9cb17393068366204-1024-1024.jpg,"https://acdn-us.mitiendanube.com/stores/005/775/403/products/4455-11_2-5f6a2a4a14913bfd2917393068390077-1024-1024.jpg,https://acdn-us.mitiendanube.com/stores/005/775/403/products/4455-11_3-f5bc0551e405ff131617393068420926-1024-1024.jpg,https://acdn-us.mitiendanube.com/stores/005/775/403/products/4455-11_4-cd9b37eec8c8f2b59c17393068447107-1024-1024.jpg,https://acdn-us.mitiendanube.com/stores/005/775/403/products/4455-11_5-20a114eb54a6c5c65017393068479247-1024-1024.jpg"
https://gerf.com.ar/productos/Ojotas-Jasmine-Plata-Unisex-4455-141/,4455|141|37,4455|141,Ojotas Jasmine Plata Unisex,254863805,CALZADOM|CalzadosdeMujer|Ojotas|VERTODO,$41.000,$0,0,0,0,0,0,,$0,0,0,0,0,,0,0,0,0,0,,$0,,
